124.121836	127.316393	JUMP
129.046778	147.409188	SWIM
147.409188	163.652415	PEE
185.084625	188.678502	HORN
191.540292	194.668295	JUMP
195.067615	195.866254	UFO
199.723055	217.491467	SWIM
217.491467	251.426846	PEE
239.555429	337.475896	BOAT
253.409588	259.891626	UFO
365.739507	367.874767	JUMP
370.620101	410.427445	SWIM
410.427445	428.500895	PEE
441.079247	482.170872	BOAT
531.230349	533.268123	JUMP
552.114063	601.511441	BOAT
553.724418	555.115501	UFO
564.560226	587.500900	SWIM
587.500900	607.952267	PEE
633.147326	684.470707	BOAT
692.973548	694.440242	JUMP
720.414865	1007.266410	BOAT
738.737315	755.382217	SWIM
755.382217	771.227582	PEE
835.279520	836.835838	JUMP
854.629662	855.394632	ROCK
884.022616	885.192425	JUMP
896.928626	907.447425	SWIM
907.447425	921.390951	PEE
1032.934109	1048.250028	BOAT
1085.274837	1362.253421	IDLE_MOTOR
1092.915524	1094.767681	JUMP
1102.313757	1432.660150	BOAT
1159.850681	1179.269113	SWIM
1179.269113	1193.275102	PEE
1332.710588	1332.930326	UFO
1395.959266	1398.330625	JUMP
